iter	Passed	Remaining
193	2140	5903
194	2151	5892
195	2163	5882
196	2174	5872
197	2186	5862
198	2197	5851
199	2207	5839
200	2218	5828
201	2229	5817
202	2240	5806
203	2252	5795
204	2262	5783
205	2273	5772
206	2285	5763
207	2299	5759
208	2311	5751
209	2322	5740
210	2334	5731
211	2345	5719
212	2357	5710
213	2368	5699
214	2378	5686
215	2390	5676
216	2400	5664
217	2411	5653
218	2423	5642
219	2434	5631
220	2444	5619
221	2455	5606
222	2466	5596
223	2477	5584
224	2488	5573
225	2499	5562
226	2510	5552
227	2521	5540
228	2532	5528
229	2543	5517
230	2554	5507
231	2566	5497
232	2576	5485
233	2588	5474
234	2598	5462
235	2609	5451
236	2620	5439
237	2631	5429
238	2642	5418
239	2653	5406
240	2664	5395
241	2674	5382
242	2684	5369
243	2695	5358
244	2706	5346
245	2717	5335
246	2728	5325
247	2739	5313
248	2751	5304
249	2762	5292
250	2772	5280
251	2784	5271
252	2796	5260
253	2806	5248
254	2817	5237
255	2828	5225
256	2838	5213
257	2849	5201
258	2859	5189
259	2871	5179
260	2882	5168
261	2893	5157
262	2903	5145
263	2914	5134
264	2925	5122
265	2937	5112
266	2949	5103
267	2960	5091
268	2971	5080
269	2981	5069
270	2992	5057
271	3002	5045
272	3013	5033
273	3023	5020
274	3033	5008
275	3044	4996
276	3054	4983
277	3064	4971
278	3074	4959
279	3085	4947
280	3095	4934
281	3106	4924
282	3117	4912
283	3127	4900
284	3138	4888
285	3149	4878
286	3160	4866
287	3171	4856
288	3182	4845
289	3193	4833
290	3204	4823
291	3216	4813
292	3227	4802
293	3237	4790
294	3248	4779
295	3259	4768
296	3270	4757
297	3281	4745
298	3292	4734
299	3302	4723
300	3313	4712
301	3324	4700
302	3335	4688
303	3345	4676
304	3355	4665
305	3366	4653
306	3376	4641
307	3386	4629
308	3396	4617
309	3407	4605
310	3417	4593
311	3429	4583
312	3439	4571
313	3450	4560
314	3461	4549
315	3472	4538
316	3483	4527
317	3494	4516
318	3504	4504
319	3515	4492
320	3525	4481
321	3536	4469
322	3547	4458
323	3557	4446
324	3568	4435
325	3578	4424
326	3589	4413
327	3601	4403
328	3612	4392
329	3623	4381
330	3635	4370
331	3645	4359
332	3656	4348
333	3667	4336
334	3677	4325
335	3687	4313
336	3698	4301
337	3708	4290
338	3719	4279
339	3730	4268
340	3735	4250
341	3747	4240
342	3758	4229
343	3769	4218
344	3782	4210
345	3795	4200
346	3807	4191
347	3818	4180
348	3828	4168
349	3840	4158
350	3850	4146
351	3862	4136
352	3872	4125
353	3883	4114
354	3895	4103
355	3905	4092
356	3917	4081
357	3928	4070
358	3939	4060
359	3951	4049
360	3962	4039
361	3974	4028
362	3984	4017
363	3995	4006
364	4006	3995
365	4017	3984
366	4027	3972
367	4038	3961
368	4049	3950
369	4060	3939
370	4071	3928
371	4082	3917
372	4093	3907
373	4104	3896
374	4115	3884
375	4126	3873
376	4136	3862
377	4147	3851
378	4157	3839
379	4167	3827
380	4178	3816
381	4189	3806
382	4201	3795
383	4212	3784
384	4223	3773
385	4234	3762
386	4244	3751
387	4255	3739
388	4265	3728
389	4276	3717
390	4287	3706
391	4298	3695
392	4309	3684
393	4319	3673
394	4330	3661
395	4341	3650
396	4352	3639
397	4363	3628
398	4374	3617
399	4385	3607
400	4396	3596
401	4406	3584
402	4417	3573
403	4428	3562
404	4439	3551
405	4451	3541
406	4462	3530
407	4473	3519
408	4484	3508
409	4495	3497
410	4506	3486
411	4517	3475
412	4528	3464
413	4539	3453
414	4550	3443
415	4561	3432
416	4572	3421
417	4583	3410
418	4594	3399
419	4604	3387
420	4615	3376
421	4626	3366
422	4637	3354
423	4648	3344
424	4654	3329
425	4665	3318
426	4677	3308
427	4688	3297
428	4700	3286
429	4710	3275
430	4721	3264
431	4732	3253
432	4744	3243
433	4755	3232
434	4766	3221
435	4778	3211
436	4790	3200
437	4801	3189
438	4812	3178
439	4823	3168
440	4834	3157
441	4845	3146
442	4855	3135
443	4866	3123
444	4876	3111
445	4886	3100
446	4897	3089
447	4908	3078
448	4920	3068
449	4932	3057
450	4943	3047
451	4955	3036
452	4956	3019
453	4967	3008
454	4978	2998
455	4989	2986
456	5000	2976
457	5010	2964
458	5021	2953
459	5032	2942
460	5043	2931
461	5046	2916
462	5056	2905
463	5068	2894
464	5079	2883
465	5091	2873
466	5096	2859
467	5108	2848
468	5119	2838
469	5130	2827
470	5141	2816
471	5152	2805
472	5163	2794
473	5174	2783
474	5185	2773
475	5197	2762
476	5208	2751
477	5219	2740
478	5230	2730
479	5242	2719
480	5245	2704
481	5256	2693
482	5268	2683
483	5269	2667
484	5280	2656
485	5291	2645
486	5303	2635
487	5314	2624
488	5324	2613
489	5335	2602
490	5346	2591
491	5357	2580
492	5368	2569
493	5379	2558
494	5389	2547
495	5400	2536
496	5411	2526
497	5422	2515
498	5432	2504
499	5444	2493
500	5455	2482
501	5458	2468
502	5470	2457
503	5480	2446
504	5491	2435
505	5502	2425
506	5513	2414
507	5523	2403
508	5535	2392
509	5546	2381
510	5558	2371
511	5569	2360
512	5580	2349
513	5591	2338
514	5594	2324
515	5605	2313
516	5616	2303
517	5627	2292
518	5637	2281
519	5648	2270
520	5660	2259
521	5670	2248
522	5680	2237
523	5692	2226
524	5703	2216
525	5714	2205
526	5724	2194
527	5734	2183
528	5744	2171
529	5756	2161
530	5769	2151
531	5780	2140
532	5792	2129
533	5793	2115
534	5804	2104
535	5814	2093
536	5825	2082
537	5836	2072
538	5847	2061
539	5858	2050
540	5870	2039
541	5880	2028
542	5890	2017
543	5902	2007
544	5913	1996
545	5926	1986
546	5937	1975
547	5949	1965
548	5960	1954
549	5971	1943
550	5982	1932
551	5993	1921
552	6004	1911
553	6016	1900
554	6027	1889
555	6037	1878
556	6048	1867
557	6059	1857
558	6070	1846
559	6084	1836
560	6094	1825
561	6105	1814
562	6107	1800
563	6118	1789
564	6128	1778
565	6138	1767
566	6149	1756
567	6159	1745
568	6169	1734
569	6180	1723
570	6191	1713
571	6202	1702
572	6213	1691
573	6223	1680
574	6234	1669
575	6245	1658
576	6256	1648
577	6266	1637
578	6277	1626
579	6288	1615
580	6298	1604
581	6308	1593
582	6319	1582
583	6330	1571
584	6341	1560
585	6351	1549
586	6363	1539
587	6374	1528
588	6384	1517
589	6394	1506
590	6405	1495
591	6416	1484
592	6426	1473
593	6437	1463
594	6448	1452
595	6459	1441
596	6469	1430
597	6479	1419
598	6482	1406
599	6487	1394
600	6498	1384
601	6508	1373
602	6519	1362
603	6530	1351
604	6540	1340
605	6550	1329
606	6561	1318
607	6573	1308
608	6583	1297
609	6594	1286
610	6605	1275
611	6615	1264
612	6625	1253
613	6627	1241
614	6637	1230
615	6647	1219
616	6658	1208
617	6670	1198
618	6681	1187
619	6691	1176
620	6702	1165
621	6713	1154
622	6723	1143
623	6734	1133
624	6744	1122
625	6757	1111
626	6770	1101
627	6781	1090
628	6792	1079
629	6794	1067
630	6805	1056
631	6816	1046
632	6826	1035
633	6837	1024
634	6848	1013
635	6858	1002
636	6869	992
637	6879	981
638	6890	970
639	6901	959
640	6912	948
641	6923	938
642	6934	927
643	6946	916
644	6957	906
645	6968	895
