iter	RMSE
129	11.57813324
130	11.54980493
131	11.52006715
132	11.49369022
133	11.45079256
134	11.41894284
135	11.39189923
136	11.36452443
137	11.33311907
138	11.3076343
139	11.28357849
140	11.24011049
141	11.20906422
142	11.17854921
143	11.15152287
144	11.12687646
145	11.10028146
146	11.06864265
147	11.03693499
148	11.01721802
149	10.98916432
150	10.96107353
151	10.9321928
152	10.90138547
153	10.87634933
154	10.8523534
155	10.8346586
156	10.81456807
157	10.79368665
158	10.76760691
159	10.73924527
160	10.72269472
161	10.70107566
162	10.67956805
163	10.64974493
164	10.62508173
165	10.60818346
166	10.59462568
167	10.56835268
168	10.54508145
169	10.52470705
170	10.50693967
171	10.49161224
172	10.46779063
173	10.43841741
174	10.41404365
175	10.39084054
176	10.37124689
177	10.34916764
178	10.32171465
179	10.29906959
180	10.27601717
181	10.25498874
182	10.23630462
183	10.20625087
184	10.18788209
185	10.16177922
186	10.13465925
187	10.10973216
188	10.08550606
189	10.06017361
190	10.04240566
191	10.0145485
192	9.994125196
193	9.975817686
194	9.959932377
195	9.938280368
196	9.9124914
197	9.890757742
198	9.875486376
199	9.858426466
200	9.84061362
201	9.824713555
202	9.800374552
203	9.78295255
204	9.756386526
205	9.737896673
206	9.72021395
207	9.704884475
208	9.687785204
209	9.66774106
210	9.652519321
211	9.636621425
212	9.618599142
213	9.598550257
214	9.576913964
215	9.559284138
216	9.535393319
217	9.515720118
218	9.492809109
219	9.472252979
220	9.456344172
221	9.441660798
222	9.419601666
223	9.402809244
224	9.394556535
225	9.379719713
226	9.361611929
227	9.344426491
228	9.328193862
229	9.313444351
230	9.292732679
231	9.27610273
232	9.256815186
233	9.242119384
234	9.222528843
235	9.200860397
236	9.186250933
237	9.166363265
238	9.147423701
239	9.126404228
240	9.114528556
241	9.100773567
242	9.089672192
243	9.076040035
244	9.065157241
245	9.050424674
246	9.040072027
247	9.030306337
248	9.00860592
249	8.991680116
250	8.978727112
251	8.961364524
252	8.947296102
253	8.934964903
254	8.918860599
255	8.902387824
256	8.888242517
257	8.87427138
258	8.858767339
259	8.84274073
260	8.829289009
261	8.81890663
262	8.803275055
263	8.788896184
264	8.776184644
265	8.76367703
266	8.747089063
267	8.731552994
268	8.719824127
269	8.702142818
270	8.694684001
271	8.674375572
272	8.663603461
273	8.645052542
274	8.630991253
275	8.611919966
276	8.59865516
277	8.583850833
278	8.567911409
279	8.554956578
280	8.542988734
281	8.527476913
282	8.513324303
283	8.50109212
284	8.489251143
285	8.473348076
286	8.46294202
287	8.444370215
288	8.429435765
289	8.419587869
290	8.405414626
291	8.397926273
292	8.381569366
293	8.368205976
294	8.356549726
295	8.341355451
296	8.32986556
297	8.318880307
298	8.310320968
299	8.306604194
300	8.288755406
301	8.283816372
302	8.270455619
303	8.256865222
304	8.242969033
305	8.23163473
306	8.218602952
307	8.20853317
308	8.197170383
309	8.178829829
310	8.166300903
311	8.152946686
312	8.144180438
313	8.136701514
314	8.126825147
315	8.112422332
316	8.103239425
317	8.092776645
318	8.08500371
319	8.072059471
320	8.062057543
321	8.054822148
322	8.045088885
323	8.035783885
324	8.02525902
325	8.016523209
326	8.005357763
327	7.988255557
328	7.973627331
329	7.960134382
330	7.944749561
331	7.929584485
332	7.921108212
333	7.912892185
334	7.903127182
335	7.892763323
336	7.879188874
337	7.871261505
338	7.866013059
339	7.854376133
340	7.848446451
341	7.841944992
342	7.831830851
343	7.82000736
344	7.808113976
345	7.797455559
346	7.785057531
347	7.775495196
348	7.759167886
349	7.745365449
350	7.732815634
351	7.718863224
352	7.712346356
353	7.702905674
354	7.689937389
355	7.679185542
356	7.665000589
357	7.661511869
358	7.647734873
359	7.639381903
360	7.628782604
361	7.615619984
362	7.604380767
363	7.589749745
364	7.582442209
365	7.568438292
366	7.560569601
367	7.54817094
368	7.543555864
369	7.537811094
370	7.53188954
371	7.520739163
372	7.512585472
373	7.502003902
374	7.490592278
375	7.482850082
376	7.47534918
377	7.467786209
378	7.463978959
379	7.457327177
380	7.449388003
381	7.435180955
382	7.424735512
383	7.416577159
384	7.404406143
385	7.390459804
386	7.378772332
387	7.373922844
388	7.370980601
389	7.366158641
390	7.357455137
391	7.343931953
392	7.331248082
393	7.314451966
394	7.305173862
395	7.298903627
396	7.283899886
397	7.276075093
398	7.268897813
399	7.261392721
400	7.24889618
401	7.241141115
402	7.232473058
403	7.22817291
404	7.220151265
405	7.214734158
406	7.20993983
407	7.204196277
408	7.200935279
409	7.195374648
410	7.184852035
411	7.178690417
412	7.169044622
413	7.160261272
414	7.149389397
415	7.140732013
416	7.128402494
417	7.124412306
418	7.117904153
419	7.107767262
420	7.096633851
421	7.093287685
422	7.090409039
423	7.0773979
424	7.072080875
425	7.065500258
426	7.060009087
427	7.047461375
428	7.035873319
429	7.027666077
430	7.02174057
431	7.01520855
432	7.00442253
433	6.986088343
434	6.982176263
435	6.978524032
436	6.974430554
437	6.969196445
438	6.963076931
439	6.955137529
440	6.952689003
441	6.948680947
442	6.937395757
443	6.932069357
444	6.926051653
445	6.922784249
446	6.907922593
447	6.899572268
448	6.896313581
449	6.888186922
450	6.880171052
451	6.869241267
452	6.867090947
453	6.862544283
454	6.852814585
455	6.846611598
456	6.840280585
457	6.830234263
458	6.825320535
459	6.817204371
460	6.808021808
461	6.804546268
462	6.798110011
463	6.791316952
464	6.77603344
465	6.771940967
466	6.764088077
467	6.749000147
468	6.74404814
469	6.739546584
470	6.736890204
471	6.730611553
472	6.724459785
473	6.718807317
474	6.715419256
475	6.703588959
476	6.693243813
477	6.677915924
478	6.668409994
479	6.662110374
480	6.658717527
481	6.65217232
482	6.647056559
483	6.644789765
484	6.639597854
485	6.635145476
486	6.63123064
487	6.629236019
488	6.617877589
489	6.604644245
490	6.594240967
491	6.586028735
492	6.576098254
493	6.573413332
494	6.568006655
495	6.557395455
496	6.552933803
497	6.540279711
498	6.535419415
499	6.529650264
500	6.521406023
501	6.519523678
502	6.511463987
503	6.506411106
504	6.503077314
505	6.491848645
506	6.489819251
507	6.484246579
508	6.481573971
509	6.475623772
510	6.469749075
511	6.467705286
512	6.463239895
513	6.459150357
514	6.456221302
515	6.453579629
516	6.441885384
517	6.438233191
518	6.423584366
519	6.421142052
520	6.418228635
521	6.414795812
522	6.412110916
523	6.401198208
524	6.394492585
525	6.381347683
526	6.3716816
527	6.358717874
528	6.349142603
529	6.34438379
530	6.338017135
531	6.32311437
532	6.316543743
533	6.314920081
534	6.309426615
535	6.299381244
536	6.297224916
537	6.285478701
538	6.283464037
539	6.271834352
540	6.266617225
541	6.256064179
542	6.252287003
543	6.245427374
544	6.236092495
545	6.233483294
546	6.2308335
547	6.226360127
548	6.218122973
549	6.207584768
550	6.198299178
551	6.188808662
552	6.179667939
553	6.169619525
554	6.162483493
555	6.15202146
556	6.138790287
557	6.135334316
558	6.125276807
559	6.11328494
560	6.102232686
561	6.100375493
562	6.097181457
563	6.085574773
564	6.074850873
565	6.062733879
566	6.051909262
567	6.04194677
568	6.03049987
569	6.023003618
570	6.018241699
571	6.012518992
572	6.003466375
573	5.996015527
574	5.990421056
575	5.983994009
576	5.973558359
577	5.959882289
578	5.949721072
579	5.938450144
580	5.928002942
581	5.916876234
582	5.904513275
583	5.89390354
584	5.89233328
585	5.881838862
586	5.874358332
587	5.865092383
588	5.85657678
589	5.849880435
590	5.847201771
591	5.842581766
592	5.841226069
593	5.835420728
594	5.829437714
595	5.818259228
596	5.81650774
597	5.806309645
598	5.80318028
599	5.799058584
600	5.787936201
601	5.78331435
602	5.771833812
603	5.763328402
604	5.755667111
605	5.746619593
606	5.741968229
607	5.733842355
608	5.731549289
609	5.721584591
610	5.712963844
611	5.703499406
612	5.701964339
613	5.700071426
614	5.694853382
615	5.69287403
616	5.685242697
617	5.675431371
618	5.666416804
619	5.659591502
620	5.651272091
621	5.641577233
622	5.63551735
623	5.631221696
624	5.622245577
625	5.62022766
626	5.610190997
627	5.600433147
628	5.593006853
629	5.589893952
630	5.577849302
631	5.5716302
632	5.561041395
633	5.5570557
634	5.547401536
635	5.539350038
636	5.533901107
637	5.531845851
638	5.524342342
639	5.519627255
640	5.516908308
641	5.514315154
642	5.507728868
643	5.499964705
644	5.497556602
645	5.491031372
