iter	RMSE
0	20.10918792
1	19.97684574
2	19.84897793
3	19.71332743
4	19.58420296
5	19.47426228
6	19.33564532
7	19.19739014
8	19.06492346
9	18.95774708
10	18.8429425
11	18.72985904
12	18.6095141
13	18.48476016
14	18.36668912
15	18.2671826
16	18.17057114
17	18.07192059
18	17.96733848
19	17.86374572
20	17.75719061
21	17.66836523
22	17.56610912
23	17.46969692
24	17.37018653
25	17.27354465
26	17.18149711
27	17.08669928
28	17.0043853
29	16.91827389
30	16.82433726
31	16.73372009
32	16.65924289
33	16.57028197
34	16.48883996
35	16.40978305
36	16.32798059
37	16.24404386
38	16.17178217
39	16.09704876
40	16.02547837
41	15.96214672
42	15.88230179
43	15.80365486
44	15.71469827
45	15.64010202
46	15.55920847
47	15.47910831
48	15.41420174
49	15.35018739
50	15.27967491
51	15.21345173
52	15.1418404
53	15.08105239
54	15.012258
55	14.94403165
56	14.87852839
57	14.82168234
58	14.74703223
59	14.67945495
60	14.61106358
61	14.54419687
62	14.48117951
63	14.42900453
64	14.3660408
65	14.30482168
66	14.24790835
67	14.18668099
68	14.13146874
69	14.07324569
70	14.01680881
71	13.96125028
72	13.90760896
73	13.85233081
74	13.80023744
75	13.75459212
76	13.7058072
77	13.6606743
78	13.60754081
79	13.55978225
80	13.51074769
81	13.45831027
82	13.40285292
83	13.3508679
84	13.30002911
85	13.25352312
86	13.19561276
87	13.15427425
88	13.10715503
89	13.06813889
90	13.02326552
91	12.97632854
92	12.92883916
93	12.88196589
94	12.84042102
95	12.79731362
96	12.76002776
97	12.71188747
98	12.67020837
99	12.63159104
100	12.59129451
101	12.54610311
102	12.50959668
103	12.46731451
104	12.43038414
105	12.39292655
106	12.34540791
107	12.30221836
108	12.26842755
109	12.23460568
110	12.19853486
111	12.15862606
112	12.11877935
113	12.07757025
114	12.04254727
115	12.00817566
116	11.97783037
117	11.94760157
118	11.91908349
119	11.88479419
120	11.84328117
121	11.80947018
122	11.77272573
123	11.74744431
124	11.71939631
125	11.69157047
126	11.65812265
127	11.63241678
128	11.60764371
