region_code,sgg_name,sido,RAI,Econ,Demo,Infra,Serv,net_rate,Rank
41110,수원시,경기도,1.175233602336232,1.5866918323392518,0.42750114699806263,1.7551001412820098,0.6619898316848387,-1.9567987987033466,1
41590,화성시,경기도,1.1136206154567487,2.245580923834898,-0.11140549028432901,1.9184415941921926,0.13247588998926368,45.255203028051405,2
11110,종로구,서울특별시,1.101363931581868,0.7429406094360952,0.4328436182158105,0.4986922968158412,2.990518527131623,-7.364474956918479,3
41460,용인시,경기도,1.0760859423216191,1.342697359111176,0.07824662141004221,1.912338137062386,0.5204105059971272,10.234166283017935,4
11680,강남구,서울특별시,1.029684638372847,1.798358552498968,0.6527843539632119,1.087020193508089,0.6886105958144381,-2.4841002271805976,5
41130,성남시,경기도,0.9639814501003724,1.6862139658399218,0.35166548476040294,1.4605127502901256,0.19938147203760342,-8.637580905713257,6
41280,고양시,경기도,0.9629073266827379,1.1983324353847928,0.2058246535540808,1.6383141970984179,0.45025659508095084,3.5860653345243105,7
11710,송파구,서울특별시,0.8206800171332908,0.9711394659395896,0.9298833884515483,1.2271859489087742,-0.046426869241811955,-2.8850146031721566,8
41190,부천시,경기도,0.7505691414187051,0.884310169566354,0.703662184877346,1.0261420744110035,0.2552694344260986,-12.875438609964341,9
44130,천안시,충청남도,0.7178548181428516,1.064920690143761,0.025417674680105928,1.1114651391125567,0.49540998431589783,6.214492757415803,10
11650,서초구,서울특별시,0.6858508025712896,1.3150827104209504,0.430012711009777,0.9514069575225312,0.011360180882476978,-12.253195402649569,11
11140,중구,서울특별시,0.670278023041217,1.374389835501355,0.3041568293810685,0.6596383553568709,0.47757134390031786,-1.671879962115059,12
41270,안산시,경기도,0.6677626213841862,1.0136511525346976,0.16732395273406536,1.022183858908658,0.32044626924768765,-14.107621194041474,13
11560,영등포구,서울특별시,0.6671902788071974,1.0139393272749089,0.8693053390111289,0.8533287738361344,-0.10207618514951172,0.0828179020578006,14
43110,청주시,충청북도,0.6488461482696614,1.0322303308775145,0.08689137510965975,0.7939733565690951,0.6605771915651053,2.080454045882927,15
28110,중구,인천광역시,0.6446596104922833,1.374389835501355,0.21634878621667558,0.6554621300309015,0.45832098056746534,45.10301741306497,16
11620,관악구,서울특별시,0.6351523970416426,-0.03379916017073765,1.1143374684581195,1.287732057647339,-0.3204748746201661,-5.889946575659843,17
41390,시흥시,경기도,0.6183031746406342,1.0549816077411651,0.01991094318097192,1.2128489720930262,-0.08414014709344109,27.83687528297972,18
11230,동대문구,서울특별시,0.6182978147067303,0.05337437549853508,1.2357008893390737,0.9087188477665495,0.013566571559537173,-3.6144084743618214,19
11530,구로구,서울특별시,0.610657634841823,0.3155033785838831,0.9720272596935745,0.8857250593725294,0.06285154828035015,-10.12381479237429,20
41360,남양주시,경기도,0.5937125150198074,0.38576098099061373,0.0463891923849665,1.3054013387827017,0.17617591935448565,12.483627904302272,21
11440,마포구,서울특별시,0.5901520320914754,0.6031887151541273,0.8523129637554274,1.0282260827294203,-0.365300615897451,-5.8180090759476,22
11590,동작구,서울특별시,0.5694592692382029,0.05781177992664382,1.2460578850698965,1.0583691557587278,-0.4481420635616243,-7.974545026064655,23
41220,평택시,경기도,0.5680049013635895,0.943561698207143,0.07243057398238116,1.1975431956868239,-0.24064876352242281,28.112853848563997,24
41480,파주시,경기도,0.5641724323223978,0.5068197458753054,0.045530667060059045,0.9733719640445222,0.4731339201855914,20.972152192171365,25
41170,안양시,경기도,0.5478747409817403,0.7484845736043662,0.4632880347406081,0.8738239515345818,-0.04370590554764836,-10.43128094305868,26
11740,강동구,서울특별시,0.5430602520003565,0.269391715052023,0.8724137275855245,0.9997422243322607,-0.2764274837934687,8.081838900147803,27
11215,광진구,서울특별시,0.5368776483475612,0.12988488070946042,1.0832147228063436,0.905992304559028,-0.24939179369377137,-8.93185107739567,28
11290,성북구,서울특별시,0.5301031548157555,-0.16088499562072045,0.890660182020092,1.0070346285471237,-0.015702955119520693,-6.495941834624272,29
41570,김포시,경기도,0.5204850961112724,0.6963368458399908,0.029106062281540154,1.2517076327166925,-0.2914047289037675,32.637751433597884,30
11200,성동구,서울특별시,0.5187258202643891,0.36887826418451936,0.9020441750971933,0.882751434654287,-0.3074125005646058,-11.956985773595108,31
28260,서구,인천광역시,0.5153660186978132,-0.728410392186932,0.3498452795737979,1.206521817837842,0.5913248316852916,23.98565325033923,32
11500,강서구,서울특별시,0.512180240800697,0.34166497140926616,0.37597773925783373,1.2318920314409065,-0.3495090749768879,-9.10258688617456,33
52110,전주시,전북특별자치도,0.5116248572806159,0.5058148793994026,0.07418534210932654,0.6381886953391488,0.7443336040550932,-2.499111525437598,34
30140,중구,대전광역시,0.5049094424153638,1.374389835501355,0.2510019171368083,0.11833449101585833,0.6607687956654273,-11.116658319143614,35
41610,광주시,경기도,0.492245609495084,0.7169443475336296,0.02511305540113678,1.1339661181465832,-0.24187711294572886,21.97160055754702,36
11470,양천구,서울특별시,0.48305715555497203,0.12145920057396967,1.1413621272627443,0.6630617163591451,-0.15164902559820198,-12.474958407139118,37
11410,서대문구,서울특별시,0.4809391535140001,-0.10504143467605202,0.929470261794855,0.8789115013522464,-0.11111774375535226,-2.3866943891490546,38
11545,금천구,서울특별시,0.4784908348322477,0.3438731279299524,0.9652733444537798,0.6859938639667119,-0.21474838686098086,-4.497972840109209,39
44200,아산시,충청남도,0.455512170588641,0.559250007239918,0.02134659110882995,0.7676198521219593,0.30500309172581797,18.171434334819253,40
11380,은평구,서울특별시,0.44910678202879684,-0.11617137882881252,0.791337855678661,1.0202115767731226,-0.3281342871000057,-6.029825796907236,41
11260,중랑구,서울특별시,0.4443952730472578,-0.020697542523808968,1.0372670907985253,0.9018626692822097,-0.47949027764954866,-8.61604271967369,42
30170,서구,대전광역시,0.4418893612004967,-0.728410392186932,0.4100254906964617,0.7786780208670201,0.8855408333998748,-9.5832629349473,43
36110,세종시,세종특별자치시,0.43643433234836615,0.845798766579465,-0.09243949775562314,1.047533217318563,-0.3379258313370104,50.75163394774427,44
41450,하남시,경기도,0.43043764941417006,0.6200845633046251,0.13803714355667335,1.1701195136972202,-0.6001342988565069,50.573215443605015,45
41150,의정부시,경기도,0.42262876956041623,-0.07556198749980694,0.3002288083927044,1.042255585958781,-0.03130363394131043,7.829883008291965,46
28237,부평구,인천광역시,0.4202653739480217,0.10350216594000022,0.7536020125117688,0.8084772808544248,-0.2607255823475043,-13.356408125773804,47
30200,유성구,대전광역시,0.41665102361655243,0.3179035696816071,-0.0205682285205011,1.0342433761477083,-0.04831359648673687,5.371092699639938,48
28200,남동구,인천광역시,0.40958428246084266,0.3250887688486573,0.41196381385597974,0.9316013813924761,-0.3457326465276211,-10.924955155955423,49
11350,노원구,서울특별시,0.4092237870649965,-0.1729040745011134,0.6989938249213257,0.6167354458646868,0.26862427321369775,-16.778276676184536,50
11170,용산구,서울특별시,0.3954897134571039,0.4778176646002673,0.6110016116157003,0.5787919501345101,-0.16950333106080823,-11.917073005690884,51
28185,연수구,인천광역시,0.38699463070843737,0.26510586247853585,0.19004331669836347,1.0629283553154694,-0.3856800225554688,21.677603537293216,52
41370,오산시,경기도,0.38254265809455446,0.2029973122333018,0.11311627725518295,0.8979768479919024,-0.020518846346741955,15.285327068978347,53
48250,김해시,경상남도,0.36018698267655613,0.6290955184918302,-0.011217763876150755,0.37445476127226274,0.48385835990350945,-0.006153511646683318,54
