year,jaccard_vs_2008
2008,1.0
2009,0.7391304347826086
2010,0.6666666666666666
2011,0.7391304347826086
2012,0.6
2013,0.6
2014,0.6
2015,0.6666666666666666
2016,0.6
2017,0.6
2018,0.48148148148148145
2019,0.5384615384615384
2020,0.5384615384615384
2021,0.5384615384615384
2022,0.5384615384615384
2023,0.5384615384615384
2024,0.48148148148148145
2025,0.42857142857142855
