Variable,SLM_Coef,SLM_Std,SLM_z,SLM_p
CONSTANT,11.261202897823978,39.93335391530889,0.28199992722141154,0.7779435661064489
pagerank_lag1,1382.4044501659466,570.8935519131651,2.4214749764352135,0.015457665242674534
fiscal_indep,0.40062035878488933,0.12448987613089271,3.21809589049365,0.0012904466842365045
youth_ratio,-0.8495131463630581,0.6690727053197201,-1.2696873443030583,0.20419602262168346
aging_ratio,-0.3889300893043232,0.3481516582907895,-1.1171283549638418,0.2639394483131069
ln_pop,-1.297709580894332,2.6323283226955247,-0.4929892558256058,0.6220201790024711
pop_density,-0.00023545568256420248,0.0002859620906118754,-0.8233807567303626,0.41029150261237046
fertility,11.465700735341686,5.177935864818144,2.2143381136190214,0.026805528626830628
doctor_per1000,-0.7428546353424857,0.46914520689920686,-1.5834215599309827,0.11332541212895647
W_net_rate (ρ),0.0033313711863539285,0.09272508648242529,0.035927399075387674,0.9713402486633121
