Model,Val_R2,Val_RMSE,Val_MAE,Test_R2,Test_RMSE,Test_MAE
LR,-0.1035,16.559,11.1987,-0.0987,15.2896,10.5329
DT,0.0194,15.6097,9.4319,-0.0587,15.0086,9.5045
RF,0.3134,13.0611,8.1811,0.3004,12.201,8.011
GB,0.3543,12.6663,8.0853,0.2726,12.4407,8.6973
XGB,0.3372,12.8329,7.8765,0.2968,12.2324,8.2691
LGBM,0.28,13.3756,8.3554,0.143,13.5033,8.9129
CAT,0.2797,13.3781,8.2521,0.3115,12.1031,7.8695
