model,val_r2,test_r2,test_rmse,test_mae
LR,0.025598658573271815,0.0009153001727033594,14.392523849454564,9.975836815331519
DT,0.12189208736619284,-0.5911822865042142,18.163342461128746,10.60025501686436
RF,0.3355090448152652,0.16559595041898478,13.152975322386517,8.5635557246881
GB,0.4146339108313365,0.14560523223743738,13.309602763098578,8.865065746472757
XGB,0.43985434554329894,0.2760160530619744,12.251810530889651,8.50432815118922
LGBM,0.4170719380720437,0.18332712560324993,13.012473831098735,9.571326777510853
CatBoost,0.44608345433100094,0.2927070325855655,12.109758260282032,8.572001419225689
