region_code,RAI,rank
11680,0.5594848739978503,1
41110,0.535641041604174,2
41590,0.531389806750466,3
11110,0.5277067631424954,4
41460,0.5254164843278685,5
41280,0.5056485593425111,6
41130,0.49717425567727935,7
11650,0.4961451847642966,8
44130,0.4836642862713557,9
41190,0.4832535788238123,10
47830,0.28752901062629116,220
47730,0.2841710554920631,221
28710,0.278225820963543,222
46890,0.2777280615567982,223
48840,0.27374367839254543,224
46910,0.2664335733601679,225
27720,0.265559477392492,226
47770,0.2629873184356288,227
26200,0.2612695893264968,228
47940,0.18031533404482936,229
