year,n_nodes,mean_in_strength,mean_out_strength,mean_net_rate,std_net_rate,mean_pagerank,std_pagerank,mean_betweenness,mean_in_deg_cent,mean_out_deg_cent,mean_deg_cent,top10_pagerank_share,top20_in_strength_share,net_polarization
2008,229,23730.231441048036,23665.842794759825,-2.425114882832304,25.794976003596698,0.004375114870334901,0.003588140110297325,0.015587248327810254,0.9331762813146401,0.9326017007584462,1.8657779820730866,0.2747900482640681,0.29436811849642536,40.11404563762848
2009,229,23023.7903930131,22943.31441048035,0.24320333638512864,19.851005380637385,0.00438488652297106,0.003619192910428282,0.01665625503074384,0.9329847544625756,0.9326591588140656,1.8656439132766416,0.2755622965425921,0.29559874274720205,39.473764823882526
2010,229,22268.144104803494,22218.890829694323,-0.48952272193530194,19.278117803747246,0.004381327113053461,0.0035206361848386116,0.01581109006284441,0.9329081437217498,0.9323527158507622,1.865260859572512,0.2657769929057827,0.2851685637834218,33.65368601998655
2011,229,21749.310043668123,21675.886462882096,0.6492218311998911,15.76074771619746,0.004380266151931001,0.0034425458997168023,0.01642195103594931,0.9311269439975485,0.9303991419597027,1.861526085957251,0.2625112264081745,0.2809380892873779,34.063072478519736
2012,229,20380.764192139737,20384.048034934498,-0.008511619313583518,18.833061103483878,0.004366067554496084,0.0034884184028107154,0.015778437687624578,0.9295181184402053,0.9291925227916954,1.8587106412319006,0.2654769822789595,0.2859739093824021,32.17182619987074
2013,229,19835.545851528383,19812.078602620088,1.3045626636688024,17.42502126487159,0.004368484205369725,0.003477813290947308,0.01544313913691755,0.9286945529763272,0.9286179422355013,1.857312495211829,0.2643453805396148,0.2857199152859539,29.512471788090156
2014,229,20413.80349344978,20390.965065502183,1.6591988320153008,22.50481359452632,0.004371373425562625,0.003441301324185228,0.016066909188597732,0.9308779590898645,0.930705584923006,1.8615835440128707,0.2628068708890694,0.2819930259536263,35.73654065167405
2015,229,20733.95633187773,20726.489082969434,2.2957407152942797,26.404837032893983,0.004368951910377444,0.0034466066626062113,0.01717160569700416,0.9320845782578716,0.9316823718685359,1.8637669501264074,0.2650400884541814,0.2859779413808878,39.1128750319808
2016,229,19828.489082969434,19889.585152838426,0.5983215084762171,25.524767739944075,0.004365577644221776,0.0034650993870373337,0.016202327954044332,0.9298437140887152,0.9296904926070635,1.8595342066957785,0.26511233040541765,0.28548112591736474,36.49151875596188
2017,229,19495.09170305677,19517.021834061135,0.3781786526426909,22.075849780178498,0.004370940641491374,0.0035155418100800383,0.017078710955099673,0.9285604841798819,0.9286179422355013,1.8571784264153834,0.2680167601199457,0.28466912285165946,36.71833965303797
2018,229,19784.98253275109,19803.842794759825,-2.435852192551452,20.66519093367377,0.004372115614137481,0.003749567272237982,0.016915449079000503,0.9274304757527003,0.9273538650118744,1.8547843407645752,0.2828131800312479,0.3023556086935506,39.79719948840173
2019,229,19462.340611353713,19461.157205240175,-2.917832013938829,18.400911974550052,0.004372921417223943,0.003752488067711458,0.016664692337002192,0.9262047038994867,0.9258791082509769,1.8520838121504632,0.28009349387713955,0.29751534482897884,37.70270300773012
2020,229,21042.205240174673,21047.53711790393,-2.4974315983089994,19.650563637228263,0.0043741927306277465,0.003672576772547684,0.017035511947056894,0.9264345361219642,0.9261089404734544,1.8525434765954183,0.277193305645644,0.2942223624178066,39.095119544132004
2021,229,19964.2096069869,19992.126637554586,-0.9478065557999931,17.40636699961704,0.004370571674687748,0.003603103684455206,0.017297068441065905,0.9257067340841184,0.9255726652876731,1.8512793993717918,0.27303545937542,0.29143856560779946,34.691701737239924
2022,229,17439.943231441048,17445.93886462882,1.1076525805206048,14.01829916448049,0.004371736042179283,0.0035598793786851923,0.01661896213708191,0.9174519267601319,0.917547690186164,1.8349996169462957,0.2728521221791904,0.291913333518623,27.461806631677412
2023,229,17432.82096069869,17429.475982532753,0.5959238721382765,15.599637539000684,0.004373973064408016,0.003659921840737675,0.016616346572141817,0.9152302152761816,0.9152110625909752,1.830441277867157,0.2766770057605547,0.3004008400557499,26.821864968171674
2024,229,17722.786026200873,17734.170305676857,-0.8449441762095745,14.430657572962554,0.004373144173790682,0.0036121026593027386,0.016388370557041062,0.9133340994407415,0.9133340994407415,1.8266681988814835,0.27108254341248256,0.29315109604047584,28.617436261832616
2025,229,17628.829694323143,17641.03056768559,1.470057985122644,18.224447376230767,0.004370609733239812,0.0035441051633283292,0.015336660331937108,0.9195395694476365,0.9195395694476364,1.839079138895273,0.27027268188047276,0.2950191751205474,39.28271180180491
